U.S., Trump
Alaska, Trump
Washington, Clinton
Oregon, Clinton
California, Clinton
Hawaii, Clinton
Idaho, Trump
Nevada, Clinton
Utah, Trump
Arizona, Trump
Montana, Trump
Wyoming, Trump
Colorado, Clinton
New Mexico, Clinton
North Dakota, Trump
South Dakota, Trump
Nebraska, Trump
Kansas, Trump
Oklahoma, Trump
Texas, Trump
Minnesota, Clinton
Iowa, Trump
Missouri, Trump
Arkansas, Trump
Louisiana, Trump
Illinois, Clinton
Indiana, Trump
Kentucky, Trump
Tennessee, Trump
Mississippi, Trump
Wisconsin, Trump
Ohio, Trump
West Virginia, Trump
North Carolina, Trump
Alabama, Trump
Michigan, Trump
Pennsylvania, Trump
Virginia, Clinton
South Carolina, Trump
Georgia, Trump
New York, Clinton
New Jersey, Clinton
Maryland, Clinton
Florida, Trump
Vermont, Clinton
Massachusetts, Clinton
Connecticut, Clinton
Deleware, Clinton
New Hampshire, Clinton
Rhode Island, Clinton
District of Columbia, Clinton
Maine, Clinton

